rownumber,jobcode,Timestamp,Local Date,Local Time,Temperature (°C),Humidity (%),Latitude,Longitude,Altitude (m),Accuracy (m),Speed (MPH),SourceFile,time_delta,temperature_correction_c,corrected_temperature_c,corrected_temperature_f,LocalTime
61323,Livermore071025_003-20250710 205235,2025-07-11 03:59:19.210,7/10/2025,20:59:19,27.11,0.0,37.687128,-121.784158,138.71,11.91,1.21,Livermore071025_003.csv,7.101,-0.004734904852725965,27.11,80.8,2025-07-10 20:59:19.210000-07:00
135334,Livermore071025_003-20250710 205235,2025-07-11 04:00:33.221,7/10/2025,21:00:33,26.72,0.0,37.687147,-121.784143,139.16,15.87,1.32,Livermore071025_003.csv,81.112,-0.0540850024523741,26.77,80.19,2025-07-10 21:00:33.221000-07:00
136354,Livermore071025_003-20250710 205235,2025-07-11 04:00:34.241,7/10/2025,21:00:34,26.73,0.0,37.687146,-121.784146,139.14,15.72,1.16,Livermore071025_003.csv,82.132,-0.05476513242699465,26.78,80.2,2025-07-10 21:00:34.241000-07:00
140344,Livermore071025_003-20250710 205235,2025-07-11 04:00:38.231,7/10/2025,21:00:38,26.87,0.0,37.687145,-121.784134,139.04,15.39,1.61,Livermore071025_003.csv,86.122,-0.05742564085712795,26.93,80.47,2025-07-10 21:00:38.231000-07:00
141333,Livermore071025_003-20250710 205235,2025-07-11 04:00:39.220,7/10/2025,21:00:39,26.9,0.0,37.687146,-121.784125,139.13,14.99,1.79,Livermore071025_003.csv,87.111,-0.05808510021487278,26.96,80.53,2025-07-10 21:00:39.220000-07:00
142354,Livermore071025_003-20250710 205235,2025-07-11 04:00:40.241,7/10/2025,21:00:40,26.92,0.0,37.687142,-121.784121,139.1,15.32,1.32,Livermore071025_003.csv,88.132,-0.058765896983586086,26.98,80.56,2025-07-10 21:00:40.241000-07:00
175355,Livermore071025_003-20250710 205235,2025-07-11 04:01:13.242,7/10/2025,21:01:13,27.09,0.0,37.68714,-121.78411,139.03,13.9,1.14,Livermore071025_003.csv,121.133,-0.08077076883893175,27.17,80.91,2025-07-10 21:01:13.242000-07:00
176344,Livermore071025_003-20250710 205235,2025-07-11 04:01:14.231,7/10/2025,21:01:14,27.14,0.0,37.687136,-121.784092,138.92,13.9,2.48,Livermore071025_003.csv,122.122,-0.08143022819667657,27.22,81.0,2025-07-10 21:01:14.231000-07:00
177365,Livermore071025_003-20250710 205235,2025-07-11 04:01:15.252,7/10/2025,21:01:15,27.2,0.0,37.687136,-121.784076,138.93,13.6,2.84,Livermore071025_003.csv,123.143,-0.08211102496538988,27.28,81.1,2025-07-10 21:01:15.252000-07:00
178355,Livermore071025_003-20250710 205235,2025-07-11 04:01:16.242,7/10/2025,21:01:16,27.27,0.0,37.687135,-121.784053,138.94,13.19,4.03,Livermore071025_003.csv,124.133,-0.08277115111722746,27.35,81.23,2025-07-10 21:01:16.242000-07:00
179345,Livermore071025_003-20250710 205235,2025-07-11 04:01:17.232,7/10/2025,21:01:17,27.35,0.0,37.687134,-121.784024,139.0,13.19,4.81,Livermore071025_003.csv,125.123,-0.08343127726906506,27.43,81.37,2025-07-10 21:01:17.232000-07:00
180334,Livermore071025_003-20250710 205235,2025-07-11 04:01:18.221,7/10/2025,21:01:18,27.39,0.0,37.687138,-121.783991,139.14,13.08,5.44,Livermore071025_003.csv,126.112,-0.08409073662680988,27.47,81.45,2025-07-10 21:01:18.221000-07:00
181384,Livermore071025_003-20250710 205235,2025-07-11 04:01:19.271,7/10/2025,21:01:19,27.45,0.0,37.687133,-121.783954,139.15,13.25,6.51,Livermore071025_003.csv,127.162,-0.08479087042421339,27.53,81.55,2025-07-10 21:01:19.271000-07:00
182344,Livermore071025_003-20250710 205235,2025-07-11 04:01:20.231,7/10/2025,21:01:20,27.49,0.0,37.687126,-121.7839,139.0,13.25,8.95,Livermore071025_003.csv,128.122,-0.08543099275326801,27.58,81.64,2025-07-10 21:01:20.231000-07:00
183334,Livermore071025_003-20250710 205235,2025-07-11 04:01:21.221,7/10/2025,21:01:21,27.52,0.0,37.687119,-121.783833,139.12,12.81,11.12,Livermore071025_003.csv,129.112,-0.0860911189051056,27.61,81.7,2025-07-10 21:01:21.221000-07:00
184324,Livermore071025_003-20250710 205235,2025-07-11 04:01:22.211,7/10/2025,21:01:22,27.57,0.0,37.687111,-121.783769,139.19,12.81,11.99,Livermore071025_003.csv,130.102,-0.08675124505694319,27.66,81.79,2025-07-10 21:01:22.211000-07:00
185345,Livermore071025_003-20250710 205235,2025-07-11 04:01:23.232,7/10/2025,21:01:23,27.62,0.0,37.687105,-121.783708,139.01,11.39,11.72,Livermore071025_003.csv,131.123,-0.08743204182565649,27.71,81.88,2025-07-10 21:01:23.232000-07:00
186335,Livermore071025_003-20250710 205235,2025-07-11 04:01:24.222,7/10/2025,21:01:24,27.68,0.0,37.687106,-121.783665,138.89,11.39,9.82,Livermore071025_003.csv,132.113,-0.08809216797749408,27.77,81.99,2025-07-10 21:01:24.222000-07:00
187324,Livermore071025_003-20250710 205235,2025-07-11 04:01:25.211,7/10/2025,21:01:25,27.73,0.0,37.687105,-121.783625,138.94,12.02,8.03,Livermore071025_003.csv,133.102,-0.0887516273352389,27.82,82.08,2025-07-10 21:01:25.211000-07:00
188374,Livermore071025_003-20250710 205235,2025-07-11 04:01:26.261,7/10/2025,21:01:26,27.69,0.0,37.687107,-121.783604,138.95,12.76,5.88,Livermore071025_003.csv,134.152,-0.0894517611326424,27.78,82.0,2025-07-10 21:01:26.261000-07:00
189335,Livermore071025_003-20250710 205235,2025-07-11 04:01:27.222,7/10/2025,21:01:27,27.64,0.0,37.68711,-121.783593,139.07,13.54,4.05,Livermore071025_003.csv,135.113,-0.0900925502557898,27.73,81.91,2025-07-10 21:01:27.222000-07:00
190325,Livermore071025_003-20250710 205235,2025-07-11 04:01:28.212,7/10/2025,21:01:28,27.6,0.0,37.687113,-121.783584,139.12,14.4,2.82,Livermore071025_003.csv,136.103,-0.0907526764076274,27.69,81.84,2025-07-10 21:01:28.212000-07:00
191375,Livermore071025_003-20250710 205235,2025-07-11 04:01:29.262,7/10/2025,21:01:29,27.54,0.0,37.687108,-121.783582,139.1,13.73,1.23,Livermore071025_003.csv,137.153,-0.09145281020503088,27.63,81.73,2025-07-10 21:01:29.262000-07:00
194345,Livermore071025_003-20250710 205235,2025-07-11 04:01:32.232,7/10/2025,21:01:32,27.52,0.0,37.687093,-121.783557,139.06,15.69,1.95,Livermore071025_003.csv,140.123,-0.09343318866054365,27.61,81.7,2025-07-10 21:01:32.232000-07:00
195334,Livermore071025_003-20250710 205235,2025-07-11 04:01:33.221,7/10/2025,21:01:33,27.55,0.0,37.68709,-121.783531,138.96,15.69,3.47,Livermore071025_003.csv,141.112,-0.09409264801828847,27.64,81.75,2025-07-10 21:01:33.221000-07:00
198364,Livermore071025_003-20250710 205235,2025-07-11 04:01:36.251,7/10/2025,21:01:36,27.54,0.0,37.687093,-121.783493,138.92,16.37,2.73,Livermore071025_003.csv,144.142,-0.09611303411936714,27.64,81.75,2025-07-10 21:01:36.251000-07:00
199354,Livermore071025_003-20250710 205235,2025-07-11 04:01:37.241,7/10/2025,21:01:37,27.52,0.0,37.687095,-121.783479,138.93,16.39,2.57,Livermore071025_003.csv,145.132,-0.09677316027120474,27.62,81.72,2025-07-10 21:01:37.241000-07:00
