avg_lat,avg_lon,average_temperature_F,standard_deviation_F,number_of_data_points
37.6612115,-121.7921736,80.266,0.13,31
37.6607274,-121.7901281,79.993,0.173,17
37.6629459,-121.7922513,80.245,0.166,15
37.6607565,-121.7859998,80.318,0.11,29
37.6650072,-121.7918699,80.502,0.074,41
37.667185,-121.7906648,80.54,0.132,22
37.668658,-121.7924009,80.534,0.118,21
37.6680163,-121.7910286,80.757,0.078,7
37.6700534,-121.7935757,80.653,0.118,32
37.6710645,-121.7921603,80.785,0.056,11
37.6717753,-121.7907101,80.829,0.073,11
37.670161,-121.7861896,81.596,0.102,13
37.6695875,-121.7848773,81.333,0.228,22
37.6714179,-121.7865301,81.487,0.129,15
37.6607921,-121.781971,80.136,0.18,22
37.6611373,-121.7803386,79.775,0.431,21
37.6628204,-121.780204,80.65,0.18,10
37.6649738,-121.7802162,80.87,0.092,20
37.6678563,-121.7803008,80.921,0.103,19
37.6695918,-121.781889,81.036,0.081,24
37.6699153,-121.7804104,80.898,0.21,31
37.6714463,-121.7803514,81.318,0.076,23
37.6719788,-121.7618082,80.096,0.084,4
37.6744512,-121.7943714,81.267,0.147,14
37.6759989,-121.7946525,80.905,0.303,39
37.6769779,-121.7947644,80.885,0.502,41
37.6728001,-121.7898331,81.557,0.444,38
37.6737384,-121.7928622,81.844,0.104,24
37.6742477,-121.7902656,81.454,0.263,47
37.6724836,-121.787448,81.287,0.098,23
37.6757932,-121.7903922,81.165,0.302,43
37.6769027,-121.793495,80.79,0.345,25
37.6768795,-121.7920168,80.688,0.174,33
37.6774378,-121.7934215,81.59,0.044,6
37.6775887,-121.792061,81.602,0.129,6
37.6766334,-121.7911066,80.706,0.263,39
37.6766769,-121.7905902,80.694,0.381,13
37.677019,-121.7909375,80.777,0.189,6
37.6768547,-121.7907647,80.732,0.198,3
37.6776506,-121.7909105,81.363,0.224,28
37.677848,-121.7897639,81.45,0.212,10
37.6785389,-121.8010475,80.418,0.16,29
37.6806112,-121.8032153,80.241,0.074,23
37.6797,-121.8018215,79.641,0.227,22
37.6798223,-121.8004732,80.66,0.74,45
37.6806036,-121.8014192,80.755,0.643,28
37.6803664,-121.8007794,80.356,0.672,31
37.6786319,-121.7981073,80.732,0.079,27
37.6789233,-121.7954668,80.486,0.088,29
37.6797834,-121.7981419,80.653,0.646,48
37.6798261,-121.796282,80.126,0.5,32
37.6803719,-121.7962699,79.304,0.178,9
37.6802574,-121.7948227,80.259,0.141,14
37.6814953,-121.8033494,79.904,0.322,41
37.6810805,-121.8016679,80.488,0.561,17
37.6811023,-121.8007853,80.639,0.115,7
37.681856,-121.8016864,80.454,0.708,20
37.68176,-121.8008115,80.621,0.225,6
37.6825734,-121.8037296,80.657,1.146,18
37.6827205,-121.8030404,80.549,1.049,37
37.6831294,-121.804066,80.784,1.13,30
37.6833826,-121.8029175,81.49,0.837,14
37.682309,-121.8021191,80.335,0.97,7
37.6824211,-121.8011444,80.274,0.164,9
37.6828755,-121.80159,80.42,0.509,2
37.6826347,-121.8013343,80.457,0.405,19
37.6826078,-121.8010942,81.056,0.628,20
37.6827982,-121.8014703,80.753,0.618,14
37.682753,-121.8003166,80.605,0.705,47
37.683099,-121.8017071,80.885,0.488,22
37.6829345,-121.8015545,81.194,0.967,2
37.6834278,-121.8018908,81.039,0.574,24
37.6835585,-121.80097,79.979,0.013,2
37.6833266,-121.8001863,80.399,0.318,27
37.681465,-121.7983167,80.446,0.159,33
37.6811681,-121.7964127,79.973,0.333,16
37.6827285,-121.7988394,80.479,0.711,40
37.6828146,-121.7975202,79.935,1.144,33
37.6834995,-121.7986638,80.219,0.161,17
37.6828282,-121.7961642,80.164,1.173,33
37.6828372,-121.7947952,80.635,1.392,30
37.682906,-121.795584,79.52,,1
37.6831627,-121.794995,80.723,0.348,21
37.6791406,-121.7938494,80.442,0.008,5
37.6779205,-121.789069,81.378,0.168,8
37.6797076,-121.7934904,80.189,0.076,7
37.6803316,-121.7933957,80.242,0.463,28
37.68045,-121.7923812,80.49,0.446,25
37.680144,-121.7894216,81.974,0.496,38
37.6781297,-121.7880174,81.427,0.28,26
37.6781694,-121.786915,81.556,0.857,20
37.6789634,-121.7883371,81.569,0.231,7
37.6784956,-121.784671,82.413,0.142,17
37.6796079,-121.7880473,82.31,0.218,28
37.6798999,-121.7869783,82.463,0.189,18
37.6803782,-121.7881491,81.764,0.221,36
37.6804185,-121.7868089,82.153,0.352,35
37.6804757,-121.7850711,82.439,0.06,19
37.6814652,-121.7922931,80.546,0.135,31
37.6814704,-121.7910447,82.208,0.196,14
37.6828341,-121.7934725,80.939,1.059,35
37.6823836,-121.7925118,80.42,0.166,10
37.6827901,-121.7924893,80.748,0.896,28
37.6828139,-121.7917865,80.985,0.809,24
37.6823607,-121.791127,81.584,0.279,3
37.6828047,-121.7911738,80.83,1.003,37
37.6828519,-121.7904759,81.685,0.613,11
37.6828688,-121.7895515,81.038,0.562,12
37.6831336,-121.7910027,81.498,0.82,23
37.682912,-121.7893656,82.346,0.244,10
37.6810871,-121.78808,81.494,0.103,18
37.6812404,-121.7866559,81.723,0.198,16
37.6819019,-121.7881387,81.644,0.203,24
37.6820346,-121.7864564,82.603,0.382,11
37.6812216,-121.785743,81.829,0.143,25
37.6812408,-121.78378,82.078,0.653,35
37.6817177,-121.7855432,82.055,0.422,18
37.6818297,-121.7834321,81.614,1.205,31
37.6825438,-121.7880485,81.283,0.394,20
37.6825497,-121.7868524,82.645,0.767,11
37.6829711,-121.7884134,81.538,0.724,16
37.6830073,-121.7876807,81.441,0.875,26
37.683428,-121.7885028,80.87,0.036,4
37.6834212,-121.7876246,81.426,1.115,10
37.6829582,-121.786963,80.791,0.856,23
37.6829562,-121.7864969,81.488,1.365,29
37.6834168,-121.7867992,80.2,0.027,4
37.6834198,-121.7867305,80.236,0.103,4
37.6821905,-121.785015,82.73,0.098,6
37.6824791,-121.7836169,81.498,1.297,37
37.6829416,-121.7854019,81.486,1.144,39
37.6829555,-121.7843762,81.585,1.388,21
37.6829631,-121.7838601,81.574,1.278,11
37.6829879,-121.7834832,81.706,1.212,39
37.6831568,-121.783425,81.891,1.5,20
37.6834402,-121.7834137,81.578,1.434,25
37.6736071,-121.7801738,81.352,0.141,47
37.6746431,-121.7740817,80.682,0.094,21
37.6757721,-121.7794052,81.084,0.314,46
37.677172,-121.7793797,81.025,0.131,11
37.6754452,-121.7767125,80.705,0.205,19
37.6777174,-121.7753894,80.38,0.02,5
37.6774833,-121.7745589,80.561,0.224,27
37.6744128,-121.7712342,80.584,0.076,23
37.6744081,-121.7686201,80.453,0.117,29
37.6728037,-121.7657657,80.138,0.362,25
37.6724173,-121.7629442,79.872,0.223,24
37.6742132,-121.7664639,80.467,0.192,19
37.677772,-121.7708255,81.352,0.059,10
37.677852,-121.761889,81.176,0.238,3
37.6790038,-121.7821186,82.19,0.113,17
37.6785765,-121.7786537,81.249,0.204,34
37.6793875,-121.78075,82.058,0.102,2
37.6800999,-121.7796955,82.108,0.121,19
37.6782606,-121.7756497,80.608,0.123,7
37.6790785,-121.7772875,81.207,0.231,28
37.6790795,-121.7762024,80.921,0.231,25
37.6779642,-121.7727935,80.794,0.091,4
37.679334,-121.776705,81.59,,1
37.6794679,-121.7762029,81.247,0.219,37
37.6796257,-121.7757831,81.468,0.315,10
37.6798529,-121.7763062,81.294,0.076,13
37.6797234,-121.7754473,81.478,0.305,9
37.6806749,-121.7766749,81.313,0.091,8
37.6803199,-121.7765125,81.349,0.074,19
37.6799003,-121.7747631,81.572,0.209,30
37.6800914,-121.774095,81.54,0.214,10
37.6803464,-121.7732251,81.562,0.182,36
37.6814758,-121.782197,80.12,0.225,32
37.6815657,-121.7797917,80.683,0.655,19
37.6823563,-121.7816,80.106,0.078,31
37.6829753,-121.7830726,81.032,1.257,42
37.6830526,-121.7824848,81.036,1.296,36
37.6834369,-121.7825208,81.012,1.362,15
37.6830853,-121.7815184,80.836,0.735,43
37.6822224,-121.7802426,80.2,0.048,13
37.6831436,-121.7797283,81.631,0.415,48
37.6830183,-121.7790003,81.532,0.438,21
37.6830334,-121.7783064,81.494,0.378,34
37.6810225,-121.7776327,81.839,0.074,6
37.6809846,-121.7768007,81.219,0.271,31
37.6812549,-121.7769869,81.663,0.388,35
37.6813329,-121.7761656,81.415,0.342,23
37.6818128,-121.7772171,81.847,0.206,22
37.6815363,-121.7754611,81.464,0.235,9
37.6818991,-121.7741687,81.66,0.259,47
37.6825803,-121.7775766,81.772,0.136,22
37.6831975,-121.7775493,81.044,0.608,44
37.682266,-121.7728489,81.739,0.166,14
37.6782478,-121.7715939,81.031,0.205,21
37.67823,-121.7702161,81.483,0.489,28
37.6789852,-121.7717206,81.256,0.082,12
37.6789061,-121.7703527,81.351,0.339,24
37.6785897,-121.7685954,80.954,0.225,45
37.6797079,-121.7720614,81.206,0.115,14
37.67968,-121.7707122,81.515,0.094,20
37.6805265,-121.7723408,81.36,0.198,29
37.6804159,-121.771061,81.403,0.144,21
37.6794557,-121.767743,81.161,0.097,7
37.679058,-121.7663028,80.77,0.07,24
37.6785187,-121.7627984,81.053,0.263,43
37.6798176,-121.7665331,81.07,0.126,10
37.6795903,-121.7648872,80.703,0.128,19
37.6805805,-121.7660755,81.017,0.059,6
37.6801902,-121.7653752,80.63,0.288,32
37.6799256,-121.7634178,80.738,0.138,24
37.6810023,-121.7714446,81.582,0.288,45
37.6810044,-121.7709768,82.033,0.279,26
37.681104,-121.770553,82.004,,1
37.6811367,-121.7706427,81.326,0.14,3
37.6812543,-121.7701412,81.848,0.478,25
37.6818274,-121.7717256,81.748,0.144,18
37.6813834,-121.7696948,81.881,0.314,19
37.681397,-121.767363,80.73,0.078,4
37.681648,-121.7689378,81.28,0.387,32
37.6819461,-121.7682097,81.006,0.387,34
37.68242,-121.7721854,81.601,0.499,33
37.682539,-121.771894,80.672,,1
37.6827405,-121.7720227,81.163,0.503,12
37.6827408,-121.7716021,81.419,0.523,23
37.6828825,-121.7711795,81.347,0.649,2
37.6832254,-121.7720852,80.726,0.376,14
37.6831449,-121.7705282,81.23,0.536,45
37.6826276,-121.7689926,80.83,0.345,20
37.6825054,-121.7679632,81.426,0.386,40
37.6831093,-121.7693444,81.075,0.42,16
37.682988,-121.769205,81.464,,1
37.6833699,-121.7695643,80.888,0.582,41
37.683557,-121.7689478,80.753,0.018,4
37.6830129,-121.767376,81.564,0.444,21
37.6809911,-121.7661379,80.824,0.098,16
37.6818207,-121.7640018,80.903,0.121,40
37.6825627,-121.7650256,80.986,0.109,23
37.6833799,-121.7666322,81.424,0.412,39
37.6832301,-121.7656207,80.995,0.057,17
37.6828023,-121.7629114,81.227,0.111,31
37.6655292,-121.7422935,76.973,0.484,25
37.6715189,-121.7605235,80.247,0.19,23
37.671525,-121.7573788,80.587,0.101,28
37.6717971,-121.7538365,80.395,0.2,34
37.6683803,-121.7471561,79.217,0.747,23
37.6669193,-121.7448765,77.681,0.131,11
37.6700696,-121.7498172,80.323,0.172,19
37.6651373,-121.7373784,74.935,0.927,30
37.6650966,-121.7321126,75.177,1.126,31
37.6650777,-121.7267737,76.413,0.901,26
37.6650696,-121.7227636,75.371,0.922,14
37.6652472,-121.7194675,75.297,0.962,37
37.6694176,-121.7188802,75.987,1.089,41
37.672251,-121.761792,79.862,,1
37.6744759,-121.7566815,80.324,0.178,12
37.6748936,-121.7573024,80.762,0.179,8
37.6748366,-121.7567774,80.517,0.313,35
37.6726016,-121.7540096,80.732,0.097,20
37.6735157,-121.7551675,80.438,0.083,6
37.6732991,-121.754699,80.683,0.215,30
37.6723663,-121.7533833,80.552,0.073,6
37.6740149,-121.7556575,80.394,0.165,31
37.6738598,-121.7548544,80.476,0.247,24
37.6746406,-121.7559377,80.438,0.225,41
37.676261,-121.7594255,81.034,0.219,11
37.6754244,-121.7578104,80.742,0.462,45
37.6771357,-121.760777,81.069,0.261,41
37.6790948,-121.7614947,81.224,0.032,6
37.6798579,-121.7609173,80.997,0.222,29
37.6799743,-121.7597824,80.764,0.122,21
37.6799592,-121.757812,81.09,0.122,44
37.6800534,-121.7552606,81.145,0.27,43
37.6799734,-121.7522894,80.722,0.243,17
37.6809521,-121.7567772,80.554,0.069,17
37.6813994,-121.7574375,80.311,0.173,34
37.681327,-121.7568797,80.41,0.383,24
37.6818628,-121.7578481,80.259,0.188,40
37.6825596,-121.7579174,79.953,0.31,49
37.6827177,-121.7571883,80.907,0.155,25
37.6832761,-121.7580755,79.882,0.249,11
37.6816882,-121.7553554,81.133,0.103,35
37.6825431,-121.7559033,81.064,0.041,30
37.6799651,-121.7484022,80.758,0.109,39
37.6799562,-121.7429268,80.854,0.149,34
37.6752149,-121.7188708,76.163,0.731,44
37.6799679,-121.7376406,80.8,0.285,35
37.6799468,-121.7322807,79.178,0.682,40
37.6799126,-121.7264855,78.656,0.315,42
37.6786572,-121.7187885,75.141,1.625,15
37.6799101,-121.7226251,79.553,0.139,16
37.679774,-121.7193814,76.251,1.952,32
37.6838136,-121.8040128,81.302,0.984,17
37.6841125,-121.8027799,80.324,0.597,27
37.6846983,-121.8038341,79.74,0.199,10
37.6846708,-121.8028902,80.39,0.459,22
37.6839587,-121.8017911,80.556,0.663,46
37.6840179,-121.8001048,80.444,0.395,9
37.6846974,-121.8017567,80.955,0.341,14
37.6846998,-121.8002296,80.058,0.514,16
37.6856068,-121.8027858,80.484,0.529,41
37.6853933,-121.8014845,80.953,0.235,16
37.6854049,-121.7999951,79.955,0.247,21
37.6861865,-121.8015404,80.704,0.334,28
37.686121,-121.8002059,79.89,0.083,9
37.684305,-121.798606,80.073,0.269,37
37.6840954,-121.7950478,80.882,0.294,25
37.6856006,-121.7982813,80.274,0.161,41
37.6853646,-121.795387,80.834,0.127,8
37.6858722,-121.7961246,80.482,0.155,13
37.6863235,-121.7949619,79.42,0.584,32
37.6871108,-121.8027201,79.98,0.12,18
37.6867048,-121.8016504,80.766,0.387,33
37.6869965,-121.8002622,79.914,0.562,24
37.6873758,-121.8019536,80.168,0.117,8
37.6875227,-121.8006533,80.749,0.877,15
37.689172,-121.8024834,81.345,0.174,11
37.6883092,-121.8006262,81.032,0.891,14
37.6889915,-121.8016065,81.682,0.13,11
37.6888845,-121.8007463,80.81,1.102,15
37.689058,-121.8005879,81.039,1.034,22
37.6890414,-121.7998853,81.028,0.835,13
37.6871971,-121.7948007,78.94,0.304,16
37.6890336,-121.7989011,80.922,0.779,27
