avg_lat,avg_lon,average_temperature_F,standard_deviation_F,number_of_data_points
37.6810877,-121.7615123,65.867,0.993,14
37.68076,-121.7612796,65.498,1.55,8
37.6807264,-121.7612011,64.805,1.23,8
37.6807504,-121.7612414,64.972,1.221,5
37.6808088,-121.761359,66.257,1.165,11
37.6808668,-121.7613611,65.872,1.14,8
37.680785,-121.761316,65.894,1.596,8
37.6808118,-121.7613222,65.222,1.401,6
37.6807867,-121.7612502,66.941,0.589,6
37.680784,-121.7611997,67.433,0.054,6
37.6808147,-121.7612408,66.736,0.37,4
37.6808122,-121.7612036,65.79,1.926,5
37.6808568,-121.7613318,66.013,1.093,5
37.6808517,-121.761234,65.333,1.573,14
37.6806907,-121.7611347,66.374,0.177,6
37.6806791,-121.7610876,66.447,0.373,8
37.6807185,-121.7611633,65.474,1.229,6
37.6807225,-121.761132,65.134,1.439,4
37.6807558,-121.7611669,66.966,0.58,9
37.6807566,-121.7611235,66.38,1.715,11
37.6807255,-121.7610505,67.031,0.122,6
37.6807566,-121.7610857,66.652,1.436,11
37.6807546,-121.761052,66.246,1.83,9
37.680726,-121.7610193,66.105,1.604,7
37.6807294,-121.760976,65.862,1.705,8
37.6807566,-121.7610113,67.565,0.022,7
37.6807539,-121.7609753,67.581,0.057,7
37.680751,-121.7609311,67.53,0.238,9
37.6807516,-121.7608963,66.756,1.589,9
37.68078,-121.7611702,65.462,1.941,11
37.6807725,-121.7610525,63.689,0.023,4
37.680867,-121.7611688,66.848,0.033,4
37.6807735,-121.760984,64.029,1.438,8
37.6807767,-121.7609201,63.936,1.053,14
37.6809226,-121.761432,66.445,0.037,8
37.6809267,-121.7613665,64.346,0.991,12
37.6809908,-121.7614392,65.225,1.28,12
37.6809636,-121.7613892,64.015,0.257,5
37.6809687,-121.7613578,65.615,1.485,6
37.6809954,-121.7613909,65.325,1.708,8
37.6809241,-121.7612951,64.774,1.543,9
37.6809287,-121.7612349,66.61,0.261,12
37.6809607,-121.761305,66.673,0.054,4
37.6809742,-121.7612307,66.515,0.203,6
37.6810276,-121.7614679,66.135,1.084,8
37.6810256,-121.7614242,65.055,1.629,5
37.6810572,-121.7614765,65.536,1.201,8
37.6810553,-121.7614343,64.783,1.258,11
37.6810456,-121.761402,65.559,1.625,5
37.6811001,-121.7614598,65.068,1.153,12
37.6810913,-121.76136,66.779,0.043,6
37.6810826,-121.7612421,66.512,0.181,14
37.6809228,-121.7611682,66.778,0.03,9
37.6810944,-121.7610347,64.961,0.08,7
37.6810284,-121.7609956,64.645,0.111,8
37.6810252,-121.7609128,64.412,0.066,6
37.6811038,-121.7610061,65.548,0.323,10
37.6810925,-121.7609158,65.66,0.016,6
37.6801932,-121.7606803,65.942,0.072,6
37.6802458,-121.7606813,65.885,0.032,6
37.6803054,-121.7606621,65.994,0.089,7
37.6803707,-121.7606773,66.11,0.02,6
37.6803642,-121.7606058,65.948,0.015,4
37.680228,-121.7605431,66.114,0.081,9
37.6804272,-121.7606434,66.117,0.016,5
37.6804281,-121.7605269,65.955,0.023,8
37.6804792,-121.7605142,65.916,0.09,4
37.6805091,-121.7605241,66.58,1.518,8
37.680479,-121.7604365,63.599,0.685,4
37.6805057,-121.7604662,64.316,2.049,6
37.6805,-121.7604486,62.841,0.39,5
37.6804975,-121.76043,63.813,0.177,11
37.6805136,-121.7604472,64.792,2.033,5
37.680513,-121.760436,64.883,1.494,7
37.6805088,-121.7603636,66.135,1.338,8
37.6805355,-121.7605216,64.994,1.497,8
37.680567,-121.7605444,66.308,2.268,5
37.6805597,-121.7605287,67.316,1.536,7
37.6805572,-121.7605028,64.44,2.057,5
37.6805735,-121.760533,64.85,1.123,4
37.6805746,-121.760505,64.645,2.115,5
37.6805291,-121.7604659,65.822,2.105,8
37.6805629,-121.7604823,65.044,1.627,14
37.6805682,-121.7604386,66.205,1.254,10
37.6805976,-121.7605149,64.255,1.32,14
37.6806296,-121.7605455,66.785,1.512,8
37.6806293,-121.7605194,65.134,2.1,12
37.6805966,-121.760489,65.559,2.062,11
37.6806225,-121.760452,65.84,1.584,4
37.680533,-121.7604028,66.927,0.748,8
37.6805294,-121.7603663,66.804,0.776,7
37.68053,-121.7603212,66.905,0.63,6
37.6805291,-121.7602885,66.618,0.671,10
37.6802521,-121.7600711,64.605,1.508,11
37.6802519,-121.7600253,65.248,1.271,11
37.6802588,-121.7599836,64.942,1.244,12
37.6802888,-121.7600892,64.004,1.262,5
37.6802927,-121.7600578,64.966,1.236,13
37.680311,-121.760051,65.107,1.315,4
37.6803316,-121.760066,64.191,0.815,5
37.680328,-121.76005,64.283,0.259,4
37.6803033,-121.7600165,64.164,0.848,11
37.6803553,-121.76008,66.344,0.312,4
37.6803434,-121.7600678,65.025,0.902,8
37.6803746,-121.7600706,64.984,0.783,7
37.6803882,-121.7600718,64.805,1.083,4
37.6803466,-121.7600255,65.478,0.646,11
37.6803568,-121.759984,65.707,0.174,5
37.6802627,-121.7599497,64.508,1.077,7
37.6802582,-121.7599072,65.12,1.128,4
37.6802552,-121.7598559,64.549,1.136,12
37.6802531,-121.7597774,64.271,1.137,13
37.6802518,-121.7597018,64.019,0.912,13
37.6802995,-121.7599439,64.669,1.051,14
37.6803144,-121.7598384,65.104,0.97,9
37.6803607,-121.7599533,64.805,1.101,6
37.6803868,-121.7599488,64.628,0.953,6
37.6803563,-121.7598678,65.648,0.149,6
37.6803857,-121.7598247,64.115,0.392,6
37.6802962,-121.7597562,65.084,0.744,4
37.6803195,-121.7598006,64.548,0.972,13
37.6803186,-121.7597599,64.713,1.036,11
37.6802967,-121.7597165,65.089,0.747,4
37.6802868,-121.7596718,64.54,0.891,5
37.6803197,-121.7597186,65.129,0.983,10
37.6803182,-121.7596795,65.189,0.905,12
37.6803484,-121.7598003,64.536,0.997,9
37.6805167,-121.760202,65.615,0.061,4
37.6805101,-121.760173,65.609,0.118,7
37.680509,-121.7601346,65.538,0.152,9
37.680418,-121.760085,65.651,1.112,4
37.6804103,-121.7600615,64.858,1.245,11
37.6804463,-121.7600868,65.36,1.048,6
37.6804438,-121.7600582,65.308,1.03,13
37.6804257,-121.7600071,63.774,0.66,9
37.6804784,-121.7600934,65.562,1.069,7
37.6804742,-121.7600608,64.637,1.194,13
37.680502,-121.7601043,65.688,1.079,7
37.6805051,-121.7600612,65.124,1.127,12
37.6804755,-121.7600262,64.718,1.11,12
37.6804692,-121.7599898,65.48,0.364,4
37.6804997,-121.7600142,64.585,1.15,4
37.6805032,-121.7599856,65.577,0.016,5
37.6805322,-121.7602497,66.539,0.672,11
37.6805377,-121.7602124,66.468,0.689,11
37.680542,-121.7601762,66.538,0.671,5
37.6805398,-121.7601361,65.865,0.534,11
37.6805637,-121.7601714,65.837,0.741,12
37.6805632,-121.7601367,65.909,1.305,11
37.6805964,-121.7601746,66.139,0.188,8
37.6806,-121.7601404,65.844,1.011,5
37.6806298,-121.7601302,65.152,1.144,13
37.6805363,-121.7600974,65.757,0.899,11
37.680542,-121.7600722,65.35,0.54,4
37.680543,-121.7600509,64.48,0.734,7
37.6805661,-121.7600563,65.156,0.796,11
37.680539,-121.7600248,64.236,0.384,10
37.680546,-121.7599856,64.155,0.298,5
37.680563,-121.760027,64.353,0.594,5
37.6806064,-121.7600934,64.521,0.902,7
37.6806019,-121.7600259,65.411,0.379,7
37.6805968,-121.7599915,64.612,0.651,4
37.6806322,-121.7600131,65.188,0.685,8
37.6806296,-121.7599924,65.059,0.733,5
37.6804224,-121.7599255,64.417,0.635,14
37.6804102,-121.759861,64.313,0.579,11
37.6804847,-121.7599243,65.274,0.748,14
37.6805072,-121.7598668,64.54,0.891,5
37.680508,-121.759831,64.498,0.92,7
37.6804584,-121.7597782,65.559,0.021,5
37.6804346,-121.7597036,65.293,0.371,5
37.6805068,-121.7597942,64.579,0.83,12
37.6805039,-121.7597565,64.693,0.846,10
37.6805014,-121.7597204,65.087,0.606,7
37.6805026,-121.7596814,65.014,0.629,9
37.6805391,-121.7599493,64.6,0.703,10
37.6805316,-121.7599118,64.195,0.243,5
37.6805388,-121.7598529,65.085,0.646,13
37.6806091,-121.7599169,64.494,0.633,14
37.6805498,-121.7596917,63.708,0.489,11
37.680617,-121.7597026,63.968,0.031,7
37.6807518,-121.7608589,66.784,1.5,14
37.6807555,-121.7608203,66.728,1.579,13
37.6807541,-121.760781,66.678,1.558,9
37.680747,-121.7607423,66.344,1.667,7
37.6806832,-121.7605778,66.726,2.043,4
37.6807502,-121.7607047,66.146,1.801,6
37.6807563,-121.7606692,65.099,1.935,12
37.6807555,-121.7606322,63.961,1.33,8
37.6807538,-121.7605936,64.898,2.0,9
37.6807841,-121.7608396,63.489,0.079,8
37.6807851,-121.7607539,64.68,2.09,9
37.6807756,-121.7606841,66.264,1.973,14
37.680777,-121.7606342,67.285,0.128,8
37.6807726,-121.7605999,67.33,0.085,8
37.6806592,-121.7605456,64.915,1.298,11
37.6806597,-121.7605303,65.915,2.349,7
37.6806872,-121.7605628,66.65,1.983,4
37.6806816,-121.760548,65.689,1.974,5
37.680698,-121.7605642,66.61,2.135,4
37.6806966,-121.7605493,66.012,1.792,7
37.680686,-121.7605193,67.094,1.275,6
37.6806701,-121.760477,64.765,0.231,14
37.6807137,-121.7605662,66.263,2.114,6
37.68071,-121.760547,65.555,1.804,6
37.6807268,-121.7605595,65.975,1.94,6
37.6807206,-121.7605141,65.21,1.29,9
37.6807437,-121.7605658,67.262,0.771,6
37.6807406,-121.7605468,64.537,0.708,5
37.6807497,-121.7605028,66.182,1.455,4
37.6807792,-121.760546,64.657,0.747,10
37.6807842,-121.760524,65.642,2.037,4
37.6808126,-121.7605482,64.922,0.798,9
37.680815,-121.7605207,65.198,1.331,12
37.6807818,-121.7604898,65.057,0.054,4
37.6808204,-121.7604806,64.261,0.863,8
37.6808162,-121.7604345,64.377,0.895,10
37.6808401,-121.760547,64.932,0.608,7
37.6808447,-121.760521,65.087,1.748,6
37.6808756,-121.760549,64.728,0.857,8
37.680871,-121.7605174,65.483,1.753,7
37.6808483,-121.7604759,63.722,0.976,9
37.6808447,-121.7604498,64.511,0.563,11
37.6808734,-121.760473,64.786,0.571,12
37.6808038,-121.7603885,64.864,0.59,10
37.68081,-121.7603053,64.52,0.564,6
37.6808416,-121.760381,63.453,0.115,11
37.6808356,-121.760315,63.464,0.1,11
37.6809662,-121.7605968,64.279,0.023,4
37.680991,-121.7605832,64.512,0.33,5
37.6810049,-121.760584,64.361,0.462,7
37.681038,-121.7608331,64.454,0.487,9
37.6810492,-121.7607596,64.554,0.54,13
37.6810844,-121.7608382,65.509,0.068,5
37.6810393,-121.7606875,64.547,0.489,14
37.6810304,-121.7606318,64.323,0.393,10
37.6810243,-121.7605951,64.886,0.088,9
37.681063,-121.760592,65.156,0.42,4
37.6810948,-121.7605941,64.926,0.505,10
37.6811216,-121.7605874,64.984,0.53,12
37.6809054,-121.7605527,64.636,0.794,10
37.6809027,-121.760515,65.714,1.095,10
37.6809264,-121.7605447,64.891,0.412,7
37.6809457,-121.7605457,65.126,0.471,6
37.6809356,-121.7605146,65.998,1.138,5
37.6809054,-121.7604702,64.427,0.524,8
37.6809357,-121.760482,64.6,0.353,9
37.6809589,-121.7605482,64.967,0.335,8
37.6809748,-121.7605655,64.529,0.427,6
37.680974,-121.7605475,65.106,0.419,4
37.6809634,-121.7605101,65.54,1.297,9
37.6809956,-121.7605579,65.002,0.498,9
37.6810012,-121.7605144,64.996,1.112,12
37.6809808,-121.7604791,64.807,0.16,13
37.6810221,-121.7605522,64.896,0.681,13
37.6810293,-121.7605043,66.206,1.085,6
37.6810599,-121.7605609,65.079,0.428,8
37.6810608,-121.760513,66.227,1.075,6
37.6810291,-121.760472,64.848,0.22,8
37.6810603,-121.76047,64.751,0.269,6
37.6810586,-121.7604358,64.962,0.032,5
37.6810912,-121.7605578,64.88,0.073,6
37.6810911,-121.7605229,66.077,1.053,7
37.681123,-121.7605627,64.871,0.103,6
37.6811198,-121.7605232,65.897,1.009,6
37.6810886,-121.7604721,64.642,0.271,7
37.681093,-121.7604368,64.877,0.034,4
37.6811195,-121.7604386,65.166,0.6,11
37.6810996,-121.7604071,65.057,0.278,8
37.681116,-121.760403,64.908,0.706,8
37.6811102,-121.7603638,64.82,0.579,13
37.68111,-121.760339,64.825,0.373,8
37.681112,-121.760318,64.846,0.608,5
37.6811133,-121.7602985,65.018,0.642,6
37.6811118,-121.76028,65.034,0.729,5
37.680658,-121.7601662,65.858,0.061,4
37.680657,-121.7601253,65.562,1.085,7
37.680689,-121.7601352,64.49,1.02,4
37.6807272,-121.7601398,64.769,0.834,12
37.6806803,-121.7601101,65.175,1.191,13
37.6806574,-121.7600139,65.192,0.794,8
37.6806578,-121.7599931,65.346,0.487,11
37.6806899,-121.760011,64.907,0.829,7
37.6806858,-121.7599782,65.423,0.397,6
37.6807236,-121.7601023,65.382,0.969,11
37.6807486,-121.760099,65.457,0.833,10
37.6807545,-121.7600658,65.484,0.023,4
37.6807284,-121.7600091,65.051,0.673,12
37.6808236,-121.7602488,63.84,0.655,8
37.6808153,-121.760213,63.982,0.58,10
37.6807783,-121.7601382,64.418,0.913,4
37.6808152,-121.7601774,63.982,0.55,8
37.6808182,-121.7601389,64.152,0.592,13
37.6808064,-121.7601084,64.911,1.215,5
37.6808084,-121.7600906,65.019,0.963,5
37.6808175,-121.7601038,64.656,0.726,4
37.6808075,-121.7600708,64.665,1.18,4
37.6808062,-121.7600496,64.569,0.972,5
37.6808178,-121.7600725,64.544,0.701,4
37.6808158,-121.760055,64.603,0.618,4
37.6808037,-121.7600312,64.328,0.872,4
37.6808064,-121.7600134,64.576,0.883,5
37.680818,-121.7600305,64.931,0.696,4
37.6808111,-121.7599852,64.719,0.737,14
37.6806716,-121.7599188,64.619,0.703,11
37.6806685,-121.759876,64.616,0.732,4
37.6806655,-121.759835,65.741,0.043,4
37.6806835,-121.7598655,64.832,0.736,8
37.6806948,-121.7598358,64.259,0.071,6
37.6807147,-121.7599412,65.717,0.037,6
37.6807224,-121.759912,65.764,0.096,5
37.6807429,-121.7599461,65.537,0.542,7
37.6807525,-121.7599068,65.273,0.427,4
37.6807537,-121.759872,65.272,0.466,7
37.680749,-121.7598252,64.972,0.663,4
37.680674,-121.7597759,65.813,0.088,8
37.6806916,-121.7597104,64.828,0.686,9
37.6806949,-121.7596813,65.024,0.748,9
37.6807174,-121.7597941,64.323,0.208,8
37.6807162,-121.759764,64.604,0.63,6
37.6807173,-121.7597475,64.631,0.619,6
37.6807376,-121.7598018,65.44,0.695,5
37.6807135,-121.7597149,64.68,0.689,13
37.680708,-121.7596815,65.426,0.744,4
37.6807872,-121.7599456,64.864,0.711,5
37.6807842,-121.7599092,65.102,0.649,5
37.6808116,-121.7599477,64.725,0.812,13
37.6808139,-121.7599071,64.716,0.785,14
37.6807765,-121.759867,64.859,0.471,8
37.6807771,-121.7598336,65.068,0.474,12
37.6808151,-121.7598684,64.792,0.798,9
37.6808137,-121.7598313,64.61,0.74,9
37.6807859,-121.7597936,65.107,0.569,7
37.6807885,-121.7597563,64.812,0.527,10
37.6808126,-121.7597944,64.864,0.72,14
37.6808199,-121.7597579,64.891,0.806,7
37.6807871,-121.7597113,64.976,0.558,10
37.6807851,-121.7596779,65.019,0.554,10
37.6808174,-121.7597201,64.926,0.645,10
